test_number;start_vm;insert_schema;insert_data;select_table;select_rented;delete_data;delete_objects
1;62,14;2,40;172,02;1,16;0,85;6,60;1,18
2;31,10;2,22;158,37;1,21;0,98;4,33;1,05
3;30,24;2,39;159,49;1,13;1,03;4,08;0,98
4;38,51;2,05;146,41;1,19;0,85;3,78;0,96
5;45,69;2,05;149,02;1,10;1,14;4,41;1,01
6;39,66;2,03;144,68;1,20;0,98;4,41;0,99
7;32,79;2,08;139,16;1,14;0,92;3,73;0,97
8;29,53;2,31;154,53;1,15;1,01;4,89;1,02
9;30,03;1,96;147,68;1,21;0,89;4,45;0,87
10;25,39;2,05;174,65;1,03;1,04;5,24;1,01
