test_number;start_container;insert_schema;insert_data;select_table;select_rented;delete_data;drop_objects
1;0,852;1,931;300,274;1,649;1,661;4,262;1,990
2;0,919;2,028;288,524;0,865;0,808;3,546;0,707
3;0,929;1,656;289,419;1,182;1,748;4,274;1,041
4;0,993;1,692;300,954;2,358;1,182;4,500;0,775
5;1,056;2,155;281,022;1,838;1,302;4,030;0,890
6;1,030;1,986;283,021;0,989;1,899;4,432;1,097
7;2,605;7,550;585,169;1,647;2,038;5,820;2,493
8;2,181;1,957;278,725;1,190;0,866;3,596;1,068
9;1,712;2,001;451,232;1,521;0,928;4,821;1,946
10;1,224;1,996;311,873;2,095;1,384;7,283;3,225
